Unnamed: 0,Unnamed: 0.1,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,Unnamed: 61,Unnamed: 60,BRANDED_CODE_SHARE,SCH_OP_CARRIER_FL_NUM,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,DUP,Unnamed: 63,MKT_CARRIER,Unnamed: 64,Departure_Hour
63925,63925,2021,1,5,2,2021-01-05,DL,19790,4652,9E,20363.0,N368CA,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1804.0,-4.0,0.0,0.0,-1.0,1800-1859,10.0,1814.0,1927.0,10.0,2005,1937.0,-28.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,93.0,73.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63926,63926,2021,1,6,3,2021-01-06,DL,19790,4652,9E,20363.0,N832AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1807.0,-1.0,0.0,0.0,-1.0,1800-1859,12.0,1819.0,1928.0,14.0,2005,1942.0,-23.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,95.0,69.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63927,63927,2021,1,7,4,2021-01-07,DL,19790,4652,9E,20363.0,N927EV,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1746.0,-22.0,0.0,0.0,-2.0,1800-1859,12.0,1758.0,1914.0,24.0,2005,1938.0,-27.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,112.0,76.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63928,63928,2021,1,8,5,2021-01-08,DL,19790,4652,9E,20363.0,N835AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1757.0,-11.0,0.0,0.0,-1.0,1800-1859,11.0,1808.0,1913.0,8.0,2005,1921.0,-44.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,84.0,65.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63929,63929,2021,1,10,7,2021-01-10,DL,19790,4652,9E,20363.0,N8886A,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1800.0,-8.0,0.0,0.0,-1.0,1800-1859,8.0,1808.0,1922.0,6.0,2005,1928.0,-37.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,88.0,74.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63930,63930,2021,1,11,1,2021-01-11,DL,19790,4652,9E,20363.0,N800AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1807.0,-1.0,0.0,0.0,-1.0,1800-1859,27.0,1834.0,1953.0,10.0,2005,2003.0,-2.0,0.0,0.0,-1.0,2000-2059,0.0,0,0.0,117.0,116.0,79.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63931,63931,2021,1,12,2,2021-01-12,DL,19790,4652,9E,20363.0,N800AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1805.0,-3.0,0.0,0.0,-1.0,1800-1859,14.0,1819.0,1943.0,9.0,2005,1952.0,-13.0,0.0,0.0,-1.0,2000-2059,0.0,0,0.0,117.0,107.0,84.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63932,63932,2021,1,13,3,2021-01-13,DL,19790,4652,9E,20363.0,N686BR,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1915.0,67.0,67.0,1.0,4.0,1800-1859,7.0,1922.0,2031.0,6.0,2005,2037.0,32.0,32.0,1.0,2.0,2000-2059,0.0,0,0.0,117.0,82.0,69.0,1.0,425.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63933,63933,2021,1,14,4,2021-01-14,DL,19790,4652,9E,20363.0,N8976E,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1759.0,-9.0,0.0,0.0,-1.0,1800-1859,16.0,1815.0,1933.0,7.0,2005,1940.0,-25.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,101.0,78.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63934,63934,2021,1,15,5,2021-01-15,DL,19790,4652,9E,20363.0,N686BR,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,13.0,1816.0,1931.0,17.0,2005,1948.0,-17.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,105.0,75.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
