Unnamed: 0,Unnamed: 0.1,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,Unnamed: 61,Unnamed: 60,BRANDED_CODE_SHARE,SCH_OP_CARRIER_FL_NUM,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,DUP,Unnamed: 63,MKT_CARRIER,Unnamed: 64,Departure_Hour
102671,102671,2021,1,1,5,2021-01-01,UA,19977,5156,OO,20304.0,N964SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,0.0,0.0,0.0,0.0,0.0,0600-0659,0.0,0.0,0.0,0.0,819,0.0,0.0,0.0,0.0,0.0,0800-0859,1.0,B,0.0,94.0,0.0,0.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
102689,102689,2021,1,4,1,2021-01-04,UA,19977,5156,OO,20304.0,N904EV,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,635.0,-10.0,0.0,0.0,-1.0,0600-0659,13.0,648.0,741.0,9.0,819,750.0,-29.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,75.0,53.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
103317,103317,2021,1,28,4,2021-01-28,UA,19977,5156,OO,20304.0,N932SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,643.0,-2.0,0.0,0.0,-1.0,0600-0659,9.0,652.0,745.0,6.0,819,751.0,-28.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,68.0,53.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
103384,103384,2021,1,31,7,2021-01-31,UA,19977,5156,OO,20304.0,N440SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,636.0,-9.0,0.0,0.0,-1.0,0600-0659,4.0,640.0,734.0,5.0,819,739.0,-40.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,63.0,54.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
104112,104112,2021,1,30,6,2021-01-30,UA,19977,5156,OO,20304.0,N979SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,636.0,-9.0,0.0,0.0,-1.0,0600-0659,5.0,641.0,725.0,8.0,819,733.0,-46.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,57.0,44.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
105038,105038,2021,1,25,1,2021-01-25,UA,19977,5156,OO,20304.0,N455SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,1405.0,440.0,440.0,1.0,12.0,0600-0659,7.0,1412.0,1509.0,6.0,819,1515.0,416.0,416.0,1.0,12.0,0800-0859,0.0,0,0.0,94.0,70.0,57.0,1.0,307.0,2,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
105543,105543,2021,1,26,2,2021-01-26,UA,19977,5156,OO,20304.0,N932SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,638.0,-7.0,0.0,0.0,-1.0,0600-0659,18.0,656.0,745.0,5.0,819,750.0,-29.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,72.0,49.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
106376,106376,2021,1,29,5,2021-01-29,UA,19977,5156,OO,20304.0,N979SW,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,637.0,-8.0,0.0,0.0,-1.0,0600-0659,11.0,648.0,740.0,5.0,819,745.0,-34.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,68.0,52.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
114064,114064,2021,1,21,4,2021-01-21,UA,19977,5156,OO,20304.0,N863AS,5156,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,645,640.0,-5.0,0.0,0.0,-1.0,0600-0659,17.0,657.0,751.0,9.0,819,800.0,-19.0,0.0,0.0,-2.0,0800-0859,0.0,0,0.0,94.0,80.0,54.0,1.0,307.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
217148,217148,2021,1,1,5,2021-01-01,AA,19805,3632,MQ,20398.0,N822AE,3632,10136,1013603,30136,ABI,"Abilene, TX",TX,Texas,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,808,0.0,0.0,0.0,0.0,0.0,0800-0859,0.0,0.0,0.0,0.0,914,0.0,0.0,0.0,0.0,0.0,0900-0959,1.0,B,0.0,66.0,0.0,0.0,1.0,158.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,8
