Unnamed: 0,Unnamed: 0.1,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,Unnamed: 61,Unnamed: 60,BRANDED_CODE_SHARE,SCH_OP_CARRIER_FL_NUM,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,DUP,Unnamed: 63,MKT_CARRIER,Unnamed: 64,Departure_Hour
94925,94925,2021,1,11,1,2021-01-11,DL,19790,4244,OO,20304.0,N917EV,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1254,1244.0,-10.0,0.0,0.0,-1.0,1200-1259,5.0,1249.0,1333.0,13.0,1408,1346.0,-22.0,0.0,0.0,-2.0,1400-1459,0.0,0,0.0,74.0,62.0,44.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
94950,94950,2021,1,11,1,2021-01-11,DL,19790,4255,OO,20304.0,N459SW,4255,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,600,555.0,-5.0,0.0,0.0,-1.0,0600-0659,19.0,614.0,656.0,22.0,720,718.0,-2.0,0.0,0.0,-1.0,0700-0759,0.0,0,0.0,80.0,83.0,42.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
95881,95881,2021,1,3,7,2021-01-03,DL,19790,4244,OO,20304.0,N944SW,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1255,1255.0,0.0,0.0,0.0,0.0,1200-1259,4.0,1259.0,1347.0,6.0,1407,1353.0,-14.0,0.0,0.0,-1.0,1400-1459,0.0,0,0.0,72.0,58.0,48.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
95893,95893,2021,1,3,7,2021-01-03,DL,19790,4255,OO,20304.0,N921EV,4255,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,610,605.0,-5.0,0.0,0.0,-1.0,0600-0659,24.0,629.0,711.0,7.0,727,718.0,-9.0,0.0,0.0,-1.0,0700-0759,0.0,0,0.0,77.0,73.0,42.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
96164,96164,2021,1,22,5,2021-01-22,DL,19790,4244,OO,20304.0,N442SW,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1254,1253.0,-1.0,0.0,0.0,-1.0,1200-1259,4.0,1257.0,1343.0,8.0,1408,1351.0,-17.0,0.0,0.0,-2.0,1400-1459,0.0,0,0.0,74.0,58.0,46.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
96174,96174,2021,1,22,5,2021-01-22,DL,19790,4255,OO,20304.0,N460SW,4255,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,600,559.0,-1.0,0.0,0.0,-1.0,0600-0659,14.0,613.0,657.0,6.0,720,703.0,-17.0,0.0,0.0,-2.0,0700-0759,0.0,0,0.0,80.0,64.0,44.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
96605,96605,2021,1,5,2,2021-01-05,DL,19790,4244,OO,20304.0,N441SW,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1254,1253.0,-1.0,0.0,0.0,-1.0,1200-1259,7.0,1300.0,1342.0,4.0,1408,1346.0,-22.0,0.0,0.0,-2.0,1400-1459,0.0,0,0.0,74.0,53.0,42.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
96782,96782,2021,1,18,1,2021-01-18,DL,19790,4244,OO,20304.0,N931EV,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1254,1257.0,3.0,3.0,0.0,0.0,1200-1259,15.0,1312.0,1358.0,4.0,1408,1402.0,-6.0,0.0,0.0,-1.0,1400-1459,0.0,0,0.0,74.0,65.0,46.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
96795,96795,2021,1,18,1,2021-01-18,DL,19790,4255,OO,20304.0,N702BR,4255,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,600,607.0,7.0,7.0,0.0,0.0,0600-0659,15.0,622.0,707.0,7.0,720,714.0,-6.0,0.0,0.0,-1.0,0700-0759,0.0,0,0.0,80.0,67.0,45.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6
97305,97305,2021,1,23,6,2021-01-23,DL,19790,4244,OO,20304.0,N886AS,4244,10141,1014106,30141,ABR,"Aberdeen, SD",SD,South Dakota,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1254,1250.0,-4.0,0.0,0.0,-1.0,1200-1259,25.0,1315.0,1358.0,6.0,1408,1404.0,-4.0,0.0,0.0,-1.0,1400-1459,0.0,0,0.0,74.0,74.0,43.0,1.0,257.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12
